0.00 0.11 
0.00 0.41 
0.00 1.28 
0.00 0.00 
0.00 0.00 
0.00 0.01 
0.00 0.04 
10000  
10000 1.57 
10000 3.66 
10000 10.05 
0.00 0.00 
0.00 0.04 
0.49 0.17 
53.31 0.59 
10000 168.84 
10000 407.56 
10000 859.27 
0.00 0.08 
1.62 1.08 
10000 6.59 
10000 36.50 
10000 10000 
10000 10000 
10000 10000 
0.02 1.12 
550.87 23.70 
10000 287.22 
10000 1295.37 
0.10 13.44 
10000 353.91 
10000 10000 
10000 10000 
0.56 97.91 
10000 10000 
10000 10000 
2.89 710.10 
10000 10000 
10000 10000 
12.02 10000 
50.15 10000 
